ACC101,ACC501,BUS101,BUS104,BUS501,BUS528,CON502,CON911,CON913,CON914,COS316,COS324,COS325,COS327,COS508,COS515,COS910,IMS504,IMS505,IMS912,IMS914,IMS915,LAW101,LNP101,POL102,SEE501,SEE502,SEE504,TIE911,TIE913,class
8.4,,,,,,,,,,,,,,,4.5,,,,,,,,,,4.6,6.8,,,,TB
7.2,,,,,6.8,,,,,,,,,,6,,,,,,,,,,6.7,7.8,,,,K
7.3,,,,,7.3,,,,,,,,,,6,,,,,,,,,,4.7,7.5,,,,K
6.2,,,,,,,,,,,,,,,5.5,,,,,,,,,,6.7,7.5,,,,TB
5.4,,,,,,,,,,,,,,,5.5,,,,,,,,,,7.7,5.8,,,,Y
5.5,,,,,,,,,,,,,,,6,,,,,,,,,,6.4,7.5,,,,TB
5,,,,,,,,,,,,,,,5,,,,,,,,,,4.2,7.8,,,,Y
2.8,,,,6.7,,,,,,,,,,,7,,,,,,,,,,7.3,7.3,,,,Y
7.2,,,,,,,,,,,,,,,8,,,,,,,,,,7.9,6.3,,,,K
6.7,,,,,,,,,,,,,,,5.5,,,,,,,,,,4.2,7,,,,TB
6.7,,,,,,,,,,,,,,,6,,,,,,,,,,4.8,7.5,,,,TB
4.7,,,,,6.5,,,,,,,,,,5,,,,,,,,,,6.3,6.8,,,,Y
4.6,,,,,,,,,,,,,,,5.5,,,,,,,,,,5.3,8.5,,,,TB
7.8,,,,,7.4,,,,,,,,,,5.5,,,,,,,,,,7,7.8,,,,K
6,,,,,,,,,,,,,,,4.5,,,,,,,,,,7.4,7.3,,,,TB
5.5,,,,,6.4,,,,,,,,,,5,,,,,,,,,,6.2,7.3,,,,TB
5.2,,,,,5.7,,,,,,,,,,5,,,,,,,,,,7,7.3,,,,TB
6.5,,,,,6.7,,,,,,,,,,6.3,,,,,,,,,,8.2,7.8,,,,K
6.7,,,,,,,,,,,,,,,6.1,,,,,,,,,,7.3,7.3,,,,Y
6.7,,,,,8.3,,,,,,,,,,8,,,,,,,,,,7.9,7.5,,,,K
5.3,,,,,,,,,,,,,,,6,,,,,,,,,,7.9,7.5,,,,K
4.8,,,,,7.5,,,,,,,,,,6.5,,,,,,,,,,5.9,7,,,,TB
5.7,,,,,6,,,,,,,,,,7,,,,,,,,6.5,,5.4,7,,,,K
5.9,,,,,,,,,,,,,,,6,,,,,,,,,,4.8,7.5,,,,TB
5.2,,,,,7.5,,,,,,,,,,4.5,,,,,,,,5.9,,5.8,8,,,,TB
8.8,,,,,8.8,,,,,,,,,,6.5,,,,,,,,,,7.4,8,,,,K
6.8,,,,,,,,,,,,,,,6.5,,,,,,,,,,7.9,6.8,,,,Y
7.2,,,,,0,,,,,,,,,,7,,,,,,,,,,6.8,7.3,,,,TB
7.5,,,,,,,,,,,,,,,6,,,,,,,,,,5,8.5,,,,TB
6.4,,,,,,,,,,,,,,,5.8,,,,,7.4,,,,,6.7,6.5,5.7,,,Y
5.5,,,,,0,,,,,,,,,,5,,,,,,,,,,6.1,6.8,,,,TB
6.5,,,,,5.9,,,,,,,,,,6.5,,,,,,,,,,7.1,6,,,,TB
8,,,,,7,,,,,,,,,,10,,,,,,,,,,7,8.8,,,,K
8.2,,,,,,,,,,,,,,,10,,,,,,,,,,6.4,8,,,,K
6.5,,,,,,,,,,6.5,,,,,7.7,,,,,,,,,,8.4,8,,,,TB
6.7,,,,,,,,,,,,,,,8,,,,,,,,,,4.3,7.8,,,,TB
7.7,,,,,6.5,,,,,,,,,,8,,,,,,,,,,4.9,7,,,,TB
7.2,,,,,,,,,,,,,,,6,,,,,,,,,,7.7,6.8,,,,TB
6.9,,,,,7.7,,,,,,,,,,6.5,,,,,,,,,,6.6,7.8,,,,TB
5.9,,,,,,,,,,,,,,,5.5,,,,,,,,,,7.3,6.5,,,,TB
5.2,,,,,,,,,,,,,,,7,,,,,,,,,,7,6.5,,,,Y
7,,,,,6.9,,,,,,,,,,6.5,,,,,,,,,,5.7,7.8,,,,TB
8.4,,,,,8.3,,,,,,,,,,8,,,,,,,,,,8.5,8.8,,,,K
9.3,,,,,7.3,,,,,,,,,,7.5,,,,,,,,,,6.3,8,,,,K
5.8,,,,,,,,,,,,,,,6.5,,,,,,,,,,6.5,7,,,,TB
9,,,,,8.2,,,,,,,,,,7,,,,,,,,,,6.4,7.5,,,,K
8.6,,,,,,,,,,,,,,,6.5,,,,,,,,,,5.9,7.5,,,,TB
7.4,,,,,,,,,,,,,,,7,,,,,,,,6.5,,5.3,8.4,,,,TB
8.1,,,,,,,,,,,,,,,5.5,,,,,,,,,,5.6,7.5,,,,TB
7.5,,,,,6.3,,,,,,,,,,7,,,,,,,,,,6,7.8,,,,TB
8.2,,,,,,,,,,,,,,,6.5,,,,,,,,,,4,7.5,,,,K
7.9,,,,,,,,,,,,,,,7.5,,,,,,,,,,4.9,8.5,,,,K
7.7,,,,,,,,,,,,,,,7,,,,,,,,,,6.3,8,,,,K
8.2,5.9,7.8,7.5,,,,,,,,,,,,,,,,,,,6.3,,7.7,,,,,,TB
8.4,,7.3,,,,,,,,9,,,,9,8.9,,,,,9.6,,,,,9,,7.4,,,K
5.9,,,,,7.4,,,,,,,,,7.5,8,,,,8.5,8.2,,6.5,,,,7.3,7.4,,,K
9,,,,,6.2,,,,,,,,,9,7,,,,,9.4,,8,,,8.2,8.8,6.8,,,K
5.8,,6.5,,,5.7,,,,,7.8,,,,8.4,6.8,,,,,8,,,,,,,6.4,,,TB
8.1,,6.6,,,7.4,,,,,,,,,9.6,7.7,,,,,8.8,,,,,,8.3,7.7,,,K
5.6,,,,,,,,,,,8.8,,,9.1,7.7,,,,,9,,,,,7.4,7.5,6,,,TB
5.6,,6.8,,,6.2,,,,,6.5,,,,7,6.3,,,,8.5,7.6,,,,,,,6.4,,,TB
5.8,,,,,,,,,,,9,,,8.2,7.4,,,,,7.3,,,,,7.4,8.5,5.6,,,TB
4.3,,6.6,,,6.3,,,,,8,,,,9,6,,,,10,,,,,,,,,9.1,,K
7.7,,7.4,,,,,,,,,,,,9.6,7.4,,,,,8.7,,,,,7.3,8.5,6.7,,,K
4.7,,6.7,,,,,,,,8,,,,,7.4,,,,8.5,8.9,,,,,7.7,,7,,,K
5.2,,,,,6.8,,,,,6.8,,,,9,7.4,,,,,9,,7.3,,,,,7,,,TB
8.2,,,,,6.3,,,,,6.5,,,,8.4,6.6,,,,,7.8,,6.3,,,,,7,,,TB
6,,7.7,,,,,,,,,,,,9,6.3,,,,,7.3,,,,,7.7,7.8,6.8,,,TB
8.2,,,,,7.2,,,,,,,,,9,7.2,,,,,7.8,,7,,,,7.5,7.4,,,TB
8.2,,6.3,,,,,,,,8.3,,,,7.8,7.1,,,,,,,,,,8.3,,,8.6,,K
5.6,,7.5,,,6.7,,,,,4.5,,,,,6.3,,,,9,7.1,,,,,,,6.2,,,TB
6.8,,7.5,,,7.4,,,,,,,,,8.7,5.6,,,,,6.4,,,,,,6.3,6.9,,,TB
2.5,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,Y
6.7,,,,,7.2,,,,,7.3,,,,8.7,6.8,,,,,8.2,,5.8,,,,,6.5,,,TB
7,,,,,6,,,,,7.3,,,,9,7.4,,,,,9,,6.3,,,,,7.2,,,K
6.6,,,,,,,,,,,9,,,9,7,,,,,9.4,,,,,7.8,8,7.2,,,K
6.9,,7.3,,,7.5,,,,,8,,,,8.7,6.2,,,,8.5,8.1,,,,,,,7.2,,,K
5.8,,6.8,,,6.9,,,,,,,,,,6,,,,8.5,7.1,,,,,,7,6.9,,,K
5.6,,,,,7,,,,,7.8,,,,7.7,6.8,,,,,8.5,,7,,,,,6.4,,,TB
4.9,,5.3,,,6.8,,,,,6.8,,,,7.5,6,,,,,9.1,,,,,,,6.4,,,TB
4,,6.7,,,4,,,,,0,,,,,5.4,,,,8.5,7.1,,,,,,8.8,6,,,Y
4.2,,,,,5.5,,,,,6.8,,,,,6.4,,,,5.6,7.5,,6,,,,,7.4,,,Y
4.2,,6.1,,,7.7,,,,,7.3,,,,8.7,5.4,,,,,9.6,,,,,,,6.7,,,K
5.5,,,,,7.7,,,,,7.8,,,,9.3,,,,,9,7.9,,7.5,,,,,6.5,,,K
6.6,,6.9,,,7.7,,,,,7.5,,,,9.6,6.8,,,,9.5,9.3,,,,,,,7,,,K
5.4,,6.5,,,7.9,,,,,,,,,,6.6,,,,9,7,,,,,,8.5,6.9,,,TB
4.5,,,,,5.9,,,,,7.8,,,,7.5,4.6,,,,,7.8,,6.5,,,,,6.2,,,TB
5.7,,6.2,,,6.9,,,,,5.8,,,,6.4,,,,,8.5,4.3,,,,,,,5.8,,,TB
5.1,,6.8,,,6.3,,,,,7.3,,,,,7.4,,,,9.5,7.1,,,,,,,6.9,,,K
7.4,,,,,6.8,,,,,7.3,,,,8,6.7,,,,,8.2,,6.8,,,,,7.2,,,TB
4.3,,4.7,,,,,,,,0,,,,0,0,,,,0,,,,,,6.7,,,,,TB
6.6,,5.5,,,6.3,,,,,4.3,,,,,7.5,,,,6.9,8.4,,,,,,,8,,,TB
5.3,,,,,7.4,,,,,,,,,,7.3,,,,8.5,6.7,,7,,,,7.3,7,,,TB
4.5,,6.9,,,6,,,,,7.3,,,,9.3,,,,,9,7.9,,,,,,,7.2,,,TB
5,,6.7,,,6.8,,,,,7.3,,,,8.7,6.6,,,,,8.1,,,,,,,6.7,,,TB
4,,,,,7.2,,,,,7.3,,,,7.5,6.7,,,,,5.5,,6,,,,,7.3,,,TB
4.3,,,,,5.9,,,,,6.8,,,,5.4,6.9,,,,,8.2,,6.5,,,,,6.9,,,TB
4,,,,,5.5,,,,,7.3,,,,6.9,7.4,,,,,7.3,,5.3,,,,,6.8,,,TB
5.4,,6.8,,,,,,,,7.8,,,,,5.3,,,,9,,,,,,7.9,,,8.9,,K
7.9,,,,,8.3,,,,,,,,,9.1,6.3,,,,,8.9,,7.5,,,,7.5,7.4,,,K
4.5,,,,,6.7,,,,,,,,,,8,,,,8.5,7.8,,5.5,,,,7.5,6.9,,,TB
7.8,,8.8,,,,,,,,9,,,,9.1,,,,,10,,,,,,8.8,,,10,,G
5.2,,6.2,,,6.5,,,,,6.5,,,,6.6,5.8,,,,9.5,7.1,,,,,,,5.5,,,TB
6.9,,6.4,,,7,,,,,6.5,,,,9,8.8,,,,,9.1,,,,,,,7.5,,,K
6.6,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,Y
7.6,,,,,,,,,,8.3,,,,8.4,7.4,,,,,8.5,,7.3,,,7,,6.7,,,K
4.6,,,,,,,,,,,,,,9.6,6.3,,,,,8.3,,6.8,,,7.5,8.5,6.5,,,TB
6.3,,5.6,,,7.7,,,,,7.3,,,,8.7,6.5,,,,8.5,7.5,,,,,,,7.2,,,TB
8.5,,,,,7.3,,,,,,,,,,7.4,,,,10,,,6.8,,,,7.8,,9.1,,K
6.3,,6.5,,,5.8,,,,,4.8,,,,,4.4,,,,5.4,8.3,,0,,,,,8,,,Y
5.4,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,Y
5.5,,7.5,,,6.2,,,,,6.8,,,,7.2,8.3,,,,,6.3,,,,,,,6.7,,,TB
5.4,,,,,,,,,,5.8,,,,,5.9,,,,8.5,5.6,,6.3,,,6.9,,6.8,,,TB
6.5,,,,,8.2,,,,,,,,,,6.4,,,,8.5,7.2,,6.3,,,,6.3,6.8,,,K
4.6,,,,,,,,,,,,,,0,0,,,,,4.1,,7.5,,,5.3,0,5.5,,,Y
5.7,,7.1,,,,,,,,8.8,,,,,7.9,,,,10,,,,,,6.7,,,8.8,,K
5.3,,,,,6.7,,,,,9,,,,9.6,7,,,,,8.8,,7.3,,,,,7.8,,,K
5.3,,,,,5.5,,,,,,,,,7.6,6.3,,,,,5.5,,6.5,,,,7.5,7.8,,,TB
8,,8.9,,,,,,,,,,,,8.7,8.3,,,,,7.1,,,,,8.4,7.5,7.3,,,K
5,,7.4,,,5.9,,,,,7,,,,6.9,7.8,,,,,7.3,,,,,,,7.3,,,TB
6.7,,0,,,,,,,,,9,,,9.3,6.8,,,,,7.5,,,,,7.7,7.3,6.7,,,K
4.4,,,,,7.9,,,,,6,,,,,6.1,,,,9,6.8,,6.5,,,,,7.2,,,Y
7.2,,6,,,,,,,,5.8,,,,,5.6,,,,8.5,7,,,,,7.3,,6.9,,,TB
5.2,,,,,6.8,,,,,7.3,,,,9,6.8,,,,,7.4,,6.8,,,,,6.7,,,TB
6,,,,,6.8,,,,,8.8,,,,9.1,7.4,,,,,7.9,,8,,,,,7.2,,,K
6.1,,6.5,,,,,,,,,,,,7.4,,,,,8.5,6.9,,,,,6.7,7.6,7,,,TB
5.4,,7.4,,,6.9,,,,,7,,,,7.8,6.8,,,,,5.6,,,,,,,7,,,TB
4.2,,,,,6.7,,,,,5.8,,,,8.1,,,,,9.5,7.8,,6.5,,,,,8,,,TB
5.5,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,Y
6.4,,7.9,,,7.2,,,,,,,,,9.1,6.7,,,,,7.1,,,,,,7.8,7.5,,,TB
5.4,,,,,7.7,,,,,,,,,8.5,7.2,,,,,8.1,,6,,,,8,7.5,,,TB
7.5,,,,,7.7,,,,,,,,,7.8,6.8,,,,,6.6,,7.5,,,8,8.5,6.2,,,TB
5.7,,,,,,,,,,8.9,,8.7,,8.4,,,,,8.8,,,,5.8,5.4,,,,9.2,,K
2.5,,,,,,,,,,,,,,4,3.9,,,,,3.6,,,,6.3,7,7.5,6.1,,,TB
,,6.3,,6.9,,,,,,7.5,,5.1,,,5.5,,,,4.4,5.6,,,,,,,5.8,,,Y
1.2,,,,6.5,,,,,,,,,,,7.4,,,,4.2,4.1,,,,7.4,7.3,7.9,7.8,,,TB
4,,6.3,,,,,,,,,,,,,5.6,,,,5.3,5.9,,,,,7.3,8.8,5.3,,,TB
6.5,,6.7,,,,,,,,,,,,,5.9,,,,5.1,6.5,,,5,,8,8,6.4,,,TB
4.1,,8.4,,,,,,,,6,,,,,5.1,,,,5.6,8.5,,,5.3,6.1,6.3,,4.7,,,Y
4.6,,5.1,,,,,,,,,,,,,7,,,,5.2,5.2,,,,,6.4,7.4,7.3,,,TB
5.4,,,,,,,,,,,,,,,6.3,,,,4.9,6.7,,,,6.2,8.3,7.9,7.5,,,TB
8,,6.3,,,,,,,,,,,,,6,,,,4.7,6.7,,,,,6.8,8.9,7.8,,,TB
3.4,,,,6.9,,,,,,6.3,,4.6,,,6.5,,,,4.7,6.3,,,,7.9,,,7.9,,,TB
5,,,,,,,,,,,,,,5.3,6.9,,,,,6.7,,,,7.3,8.2,7.7,7.5,,,TB
3.2,,,,5.8,,,,,,5.5,,7.5,,,5.4,,,,4,6.6,,,5.3,6.4,,,7.3,,,TB
5.8,,,,,,,,,,7.2,,,,,8,,,,6.5,,,,,7,7.3,,,9.1,,K
3.4,,5.7,,7.2,,,,,,,,,,,5.6,,,,4.7,6.9,,,,,6.8,6.8,7.3,,,Y
4.5,,,,,,,,,,8,,5.3,,4.4,6,,,,,7,,,,6.7,,,5.5,,,TB
4,,,,,,,,,,,,,,,5.6,,,,5.3,5.6,,,,6.1,7.9,8.3,6.9,,,TB
5.6,,,,,,,,,,,,,,,7,,,,5.8,6,,,,6.7,8.9,8.4,6.8,,,K
7.2,,6.6,,,,,,,,7.5,,6.9,,7.8,7.1,,,,,8.2,,,,,,,5,,,K
7.5,,,,,,,,,,,,,,9.8,8.7,,,,9.4,,,,,7.8,8.7,9.6,,9.3,,G
4.7,,4.3,,,,,,,,5.5,,,,,6.2,,,,6.3,6,,,,4.9,7.8,,5,,,TB
8.4,,,,,,,,,,7.2,,,,8.5,6.7,,,,,7.1,,,,7.6,7.5,,7.8,,,K
4.7,,6.4,,,,,,,,,,,,,7,,,,5.7,7.6,,,,,7.7,8.5,7.8,,,TB
5.8,,7.3,,,,,,,,6.5,,6.9,,7,6.2,,,,,7.3,,,,,,,7,,,TB
2.3,,4.2,,,,,,,,0,,,,,6,,,,,0,,,,,7,0,0,,,Y
5,,,,,,,,,,8.2,,,,7.6,7.4,,,,,9.7,,,,5.1,5.3,,6.8,,,TB
6.7,,5,,,,,,,,6.4,,,,,7.4,,,,7.3,7.4,,,0.3,,7.5,,8,,,TB
4,,7,,,,,,,,,,,,,7.1,,,,6.7,8.2,,,,,7.7,9.3,6,,,K
6.4,,4.9,,,,,,,,,,,,,7.6,,,,8.3,9,,,,,4.7,8.7,7.7,,,K
4.8,,,,,,,,,,,,,,,7,,,,7.2,,,,,7.4,7.5,8.9,,8.7,,K
6.9,,,,,,,,,,7.2,,6.9,,8.8,,,,,7.2,,,,,6.1,,,,9.1,,K
4.5,,,,,,,,,,8,,,,8.2,6.2,,,,,6.5,,,,7.2,7.4,,6,,,TB
7.2,,7.3,,,,,,,,,,,,,6.3,,,,5.7,5.4,,,,,8,7.9,7.2,,,TB
5.1,,6.5,,,,,,,,4.9,,,,,7.5,,,,5,6.2,,,4.3,,7.9,,5.9,,,TB
6.8,,7.2,,,,,,,,,,,,5.3,,,,,5.5,5,,,5,,7.5,8.6,0,,,TB
8.7,,,,,,,,,,,,,,,8.6,,,,9.2,,,,,7.3,7.3,9,,9.2,,K
4.1,,,,,,,,,,,,,,7,5.2,,,,,7.1,,,,6.1,,,6.8,,,Y
5.5,,,,,,,,,,6,,,,8,8.4,,,,,7.3,,,,6.4,7.5,,5.7,,,TB
6.4,,4.5,,,,,,,,,,,,,6.1,,,,5.2,5.9,,,,,7.3,8,6.7,,,TB
4.8,,6.6,,,,,,,,0,,4.4,,5,5.6,,,,,6.2,,,4.1,,,,4.7,,,Y
3.3,,6.3,,6.1,,,,,,0,,,,6,6,,,,0,5.7,,,1.3,,7.2,6.2,5.5,,,Y
4.4,,,,,,,,,,4.8,,6.3,,9.8,6.3,,,,,5.8,,,,6.9,,,7,,,Y
5.8,,,,,,,,,,,,,,,7.2,,,,6.9,7.3,,,,6.9,7.4,8.6,8,,,K
4.8,,,,,,,,,,6.8,,,,8.7,6.1,,,,,6.6,,,,6.6,7.2,,7.9,,,TB
4.1,,5.9,,,,,,,,5.3,,,,,6.9,,,,6.1,6.7,,,5,,7.7,,6.5,,,TB
5.7,,6.1,,,,,,,,,,,,,7.6,,,,9.4,9.7,,,,,7.9,8.4,7.3,,,K
3.6,,5.9,,6,,,,,,,,,,,5.8,,,,5.6,6.3,,,2.3,,7.3,8.2,6.4,,,TB
5.9,,,,,,,,,,,,,,9,,,,,7.1,7.1,,,,6.7,7.7,8.4,7,,,TB
6.7,,7.2,,,,,,,,,,,,,7.8,,,,6.8,,,,,,7.4,10,,8.9,,K
4.8,,5.6,,,,,,,,,,,,,8,,,,7.5,7.3,,,,,7.9,8.7,7,,,TB
6.2,,,,,,,,,,,,,,,8.5,,,,7.3,,,,,7.4,7.9,9.4,,9,,K
1.9,,5.2,,7,,,,,,4.7,,4.4,,7.9,4,,,,,9.1,,,,,,,5.9,,,TB
5,,,,,,,,,,8.5,,,,,8.6,,,,7.7,,,,,7.7,7.9,,,9,,K
5,,5.4,,,,,,,,,,,,,7.2,,,,7,6.7,,,4.3,,7.5,7.9,7,,,K
2.5,,7.8,,5,,,,,,,,,,,5.4,,,,4.7,5.5,,,4,,6,6.9,6.4,,,Y
4.8,,6.6,,,,,,,,,,,,,6.5,,,,6.3,6.7,,,,,6.3,8.6,6.3,,,TB
4.7,,6.6,,,,,,,,6.2,,,,,7.2,,,,5.8,6.9,,,5.5,,7.5,,6.5,,,TB
5.1,,6.8,,,,,,,,,,,,,5.5,,,,4.9,5.9,,,5,,7.5,8.7,5.8,,,TB
4.5,,5.1,,,,,,,,,,,,,7.6,,,,4.7,7,,,,,7.8,8.5,7.3,,,TB
0,,5.2,,,,,,,,,,,,,,,,,,,,,0.3,0,,,,,,Y
4.7,,,8.2,,,,,,,,,,,7.4,,,,,6.6,6.3,,,,,7.3,8,4.2,,,TB
4.5,,7.1,,,,,,,,,,,,,5.3,,,,5.7,5.8,,,4.8,,6.8,7.3,6.5,,,TB
5.5,,6.3,,,,,,,,,,,,,6.9,,,,6.2,7.7,,,,,7.2,8.7,6.8,,,K
4.7,,,,,,,,,,,,,,,7.8,,,,5.8,,,,,7.9,8.3,9.1,,9.1,,K
5.2,,7.7,,,,,,,,6.3,,4.1,,6.3,6.1,,,,,5,,,8.7,,,,6,,,Y
6.7,,,,,,,,,,6,,,,7.9,7.3,,,,,6.4,,,,7,7.3,,5.7,,,K
4.3,,5.9,,,,,,,,,,,,,6.6,,,,4.1,4.3,,,3.8,,7.7,7.2,6.7,,,TB
4.5,,6.6,,,,,,,,,,,,,6,,,,6.3,6.7,,,,,7.3,8.3,7.5,,,TB
1.1,,,,6.8,,,,,,,,,,,6.5,,,,4.6,5.2,,,,5.7,7,7,7.3,,,TB
7.6,,7.8,,,,,,,,,,,,,7.6,,,,5,7.9,,,5.5,,8,8.5,7,,,K
9.6,6.5,7.6,8.9,,,,,,,,,,,,,,,,,,,6.9,5.4,,,,,,,TB
9,,7,,,,,,,,,,,,,8.2,,,,6.7,8.7,,,4.5,,7.8,8.3,8,,,K
6.3,,,,,,,,,,,,,,,7.3,,,,6,6.6,,,,6.7,7.8,8.3,6.7,,,K
9.3,,6.9,,,,,,,,,,,,,7.9,,,,7.9,9.3,,,4,,8,8.9,7,,,K
6.3,,,,,,,,,,,,,,,6.2,,,,4.9,5.5,,,,6.6,8.9,7.7,6.2,,,TB
4.7,,6,,6.5,,,,,,,,,,,7.1,,,,4.9,4.7,,,3.8,,7.3,7.8,4.8,,,TB
