dataset,selector,model,accuracy,features
all,Chi2,LR,0.5531914893617021,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
all,Chi2,KNN,0.574468085106383,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
all,Chi2,SVM,0.5957446808510638,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
all,Chi2,RF,0.7021276595744681,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
all,Chi2,XGB,0.6808510638297872,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
all,ANOVA,LR,0.7127659574468085,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
all,ANOVA,KNN,0.6914893617021277,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
all,ANOVA,SVM,0.7021276595744681,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
all,ANOVA,RF,0.6914893617021277,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
all,ANOVA,XGB,0.6808510638297872,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
all,MutualInfo,LR,0.7127659574468085,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101', 'SEE301',
       'SEE505', 'TIE903', 'IMS914'],
      dtype='object')"
all,MutualInfo,KNN,0.7553191489361702,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101', 'SEE301',
       'SEE505', 'TIE903', 'IMS914'],
      dtype='object')"
all,MutualInfo,SVM,0.7659574468085106,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101', 'SEE301',
       'SEE505', 'TIE903', 'IMS914'],
      dtype='object')"
all,MutualInfo,RF,0.7553191489361702,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101', 'SEE301',
       'SEE505', 'TIE903', 'IMS914'],
      dtype='object')"
all,MutualInfo,XGB,0.7553191489361702,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101', 'SEE301',
       'SEE505', 'TIE903', 'IMS914'],
      dtype='object')"
all,RFImportance,LR,0.7446808510638298,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
all,RFImportance,KNN,0.648936170212766,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
all,RFImportance,SVM,0.723404255319149,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
all,RFImportance,RF,0.7446808510638298,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
all,RFImportance,XGB,0.7127659574468085,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
all,RFE,LR,0.7446808510638298,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
all,RFE,KNN,0.648936170212766,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
all,RFE,SVM,0.7127659574468085,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
all,RFE,RF,0.7553191489361702,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
all,RFE,XGB,0.7021276595744681,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
batbuoc,Chi2,LR,0.5531914893617021,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
batbuoc,Chi2,KNN,0.574468085106383,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
batbuoc,Chi2,SVM,0.5957446808510638,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
batbuoc,Chi2,RF,0.7021276595744681,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
batbuoc,Chi2,XGB,0.6808510638297872,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
batbuoc,ANOVA,LR,0.7127659574468085,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
batbuoc,ANOVA,KNN,0.6914893617021277,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
batbuoc,ANOVA,SVM,0.7021276595744681,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
batbuoc,ANOVA,RF,0.6914893617021277,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
batbuoc,ANOVA,XGB,0.6808510638297872,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
batbuoc,MutualInfo,LR,0.7127659574468085,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'COS515'],
      dtype='object')"
batbuoc,MutualInfo,KNN,0.7659574468085106,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'COS515'],
      dtype='object')"
